ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.26.93;ae31.708;e4:27:71:27:6c:82;290;IPTV;;;
10.1.26.94;ae31.708;e4:27:71:46:1e:4f;649;IPTV;;;
10.1.26.100;ae31.708;e4:27:71:27:42:50;745;IPTV;;;
10.1.26.102;ae31.708;e4:27:71:4e:e2:c0;303;IPTV;;;
10.1.26.103;ae31.708;e4:27:71:67:cf:85;436;IPTV;;;
10.1.26.104;ae31.708;00:02:9b:89:d2:9b;800;IPTV;;;
10.1.26.105;ae31.708;e4:27:71:26:9d:68;230;IPTV;;;
10.1.26.108;ae31.708;e0:d9:e3:7c:49:80;473;IPTV;;;
10.1.26.109;ae31.708;e4:27:71:62:7b:78;329;IPTV;;;
10.1.26.110;ae31.708;d8:af:81:02:98:e6;1065;IPTV;;;
10.1.26.112;ae31.708;e4:27:71:02:23:b9;977;IPTV;;;
10.1.26.114;ae31.708;ec:4c:4d:66:c1:4f;1104;IPTV;;;
10.1.26.115;ae31.708;e4:27:71:1f:59:83;91;IPTV;;;
10.1.26.116;ae31.708;00:1a:79:14:54:b2;644;IPTV;;;
10.1.26.117;ae31.708;e4:27:71:2a:df:54;731;IPTV;;;
10.1.26.118;ae31.708;e4:27:71:02:1d:5a;992;IPTV;;;
10.1.26.119;ae31.708;1c:bb:a8:01:49:ac;789;IPTV;;;
10.1.26.120;ae31.708;ec:4c:4d:f5:0a:4f;959;IPTV;;;
10.1.26.125;ae31.708;1c:bb:a8:23:5a:57;162;IPTV;;;
10.1.26.127;ae31.708;e4:27:71:02:4b:bb;1311;IPTV;;;
10.1.26.129;ae31.708;e4:27:71:03:73:86;578;IPTV;;;
10.1.26.130;ae31.708;e4:27:71:67:cf:6e;578;IPTV;;;
10.1.26.132;ae31.708;e4:27:71:4e:e2:5a;409;IPTV;;;
10.1.26.133;ae31.708;1c:bb:a8:16:ac:8d;201;IPTV;;;
10.1.26.135;ae31.708;ec:4c:4d:f5:02:f1;450;IPTV;;;
10.1.26.136;ae31.708;e4:27:71:25:2a:5a;428;IPTV;;;
10.1.26.139;ae31.708;e4:27:71:03:32:37;977;IPTV;;;
10.1.26.141;ae31.708;00:02:9b:89:ad:54;883;IPTV;;;
10.1.26.143;ae31.708;e4:27:71:27:97:ac;852;IPTV;;;
